Id,Category
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,1
35,0
36,1
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,0
74,0
75,0
76,1
77,0
78,0
79,1
80,1
81,0
82,1
83,1
84,1
85,0
86,0
87,0
88,1
89,1
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,0
105,0
106,1
107,1
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,0
118,1
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,1
131,1
132,0
133,0
134,1
135,0
136,1
137,0
138,0
139,1
140,1
141,0
142,1
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,0
178,0
179,1
180,1
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,1
189,1
190,1
191,0
192,1
193,1
194,1
195,0
196,1
197,1
198,0
199,0
200,0
201,0
202,1
203,1
204,1
205,0
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,0
256,1
257,1
258,1
259,0
260,1
261,0
262,0
263,0
264,0
265,1
266,1
267,0
268,0
269,0
270,1
271,1
272,0
273,0
274,0
275,1
276,1
277,0
278,1
279,0
280,0
